site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ODEZ 11MAR03 2011.1677 55623 1625 4   12.5   -844 -0.423405   5072500  0.673357    70  0.418428  0.0000 0.001244 0.001658 0.005003  0.085390 -0.059173 -0.159804  45.7878055507 -347.5108595112    70.41843
ODEZ 11MAR04 2011.1704 55624 1625 5   12.5   -844 -0.424593   5072500  0.671972    70  0.415937  0.0000 0.000813 0.001063 0.003322  0.077443 -0.030533 -0.142536  45.7878055382 -347.5108595264    70.41594
ODEZ 11MAR05 2011.1732 55625 1625 6   12.5   -844 -0.424607   5072500  0.672777    70  0.421083  0.0000 0.000733 0.000934 0.002938  0.073297 -0.022742 -0.117637  45.7878055455 -347.5108595266    70.42108
ODEZ 11MAR06 2011.1759 55626 1626 0   12.5   -844 -0.424189   5072500  0.672488    70  0.419574  0.0000 0.000733 0.000937 0.002942  0.063925 -0.019619 -0.119250  45.7878055429 -347.5108595212    70.41957
ODEZ 11MAR07 2011.1786 55627 1626 1   12.5   -844 -0.422235   5072500  0.673729    70  0.418049  0.0000 0.000735 0.000930 0.002934  0.059391 -0.014055 -0.122515  45.7878055540 -347.5108594961    70.41805
ODEZ 11MAR08 2011.1814 55628 1626 2   12.5   -844 -0.423620   5072500  0.671197    70  0.418227  0.0000 0.000740 0.000937 0.002970  0.062639 -0.013593 -0.112843  45.7878055312 -347.5108595139    70.41823
ODEZ 11MAR09 2011.1841 55629 1626 3   12.5   -844 -0.424006   5072500  0.672290    70  0.423498  0.0000 0.000735 0.000938 0.002952  0.067850 -0.020897 -0.124766  45.7878055411 -347.5108595189    70.42350
ODEZ 11MAR10 2011.1869 55630 1626 4   12.5   -844 -0.424340   5072500  0.672556    70  0.419142  0.0000 0.000734 0.000933 0.002937  0.073083 -0.032268 -0.128007  45.7878055435 -347.5108595232    70.41914
ODEZ 11MAR11 2011.1896 55631 1626 5   12.5   -844 -0.422454   5072500  0.672867    70  0.422747  0.0000 0.000732 0.000932 0.002923  0.065253 -0.027550 -0.121404  45.7878055463 -347.5108594989    70.42275
ODEZ 11MAR12 2011.1923 55632 1626 6   12.5   -844 -0.423671   5072500  0.672327    70  0.428841  0.0000 0.000738 0.000935 0.002957  0.055370 -0.032583 -0.112493  45.7878055414 -347.5108595146    70.42884
ODEZ 11MAR13 2011.1951 55633 1627 0   12.5   -844 -0.422757   5072500  0.671511    70  0.428464  0.0000 0.000758 0.000950 0.003048  0.056656 -0.027062 -0.131109  45.7878055341 -347.5108595028    70.42846
ODEZ 11MAR14 2011.1978 55634 1627 1   12.5   -844 -0.420392   5072500  0.671903    70  0.421094  0.0000 0.000994 0.001261 0.003937 -0.007140 -0.025768 -0.089729  45.7878055376 -347.5108594724    70.42109
ODEZ 11MAR15 2011.2005 55635 1627 2   12.5   -844 -0.421511   5072500  0.672507    70  0.417456  0.0000 0.000749 0.000946 0.003013  0.068494 -0.041099 -0.119153  45.7878055430 -347.5108594868    70.41746
ODEZ 11MAR16 2011.2033 55636 1627 3   12.5   -844 -0.421242   5072500  0.672852    70  0.420167  0.0000 0.000782 0.000971 0.003143  0.050730 -0.023998 -0.092505  45.7878055461 -347.5108594833    70.42017
ODEZ 11MAR17 2011.2060 55637 1627 4   12.5   -844 -0.422571   5072500  0.673580    70  0.423459  0.0000 0.000769 0.000949 0.003074  0.041956 -0.038014 -0.104969  45.7878055527 -347.5108595004    70.42346
ODEZ 11MAR18 2011.2088 55638 1627 5   12.5   -844 -0.422051   5072500  0.674276    70  0.424003  0.0000 0.000748 0.000941 0.002982  0.049383 -0.033533 -0.123616  45.7878055589 -347.5108594937    70.42400
ODEZ 11MAR19 2011.2115 55639 1627 6   12.5   -844 -0.423455   5072500  0.674153    70  0.420728  0.0000 0.000750 0.000940 0.003001  0.071582 -0.055839 -0.124161  45.7878055578 -347.5108595118    70.42073
ODEZ 11MAR20 2011.2142 55640 1628 0   12.5   -844 -0.422523   5072500  0.674425    70  0.415853  0.0000 0.000745 0.000940 0.002992  0.073607 -0.048966 -0.130275  45.7878055603 -347.5108594998    70.41585
ODEZ 11MAR21 2011.2170 55641 1628 1   12.5   -844 -0.421513   5072500  0.673493    70  0.417339  0.0000 0.000766 0.000945 0.003047  0.052943 -0.041931 -0.123123  45.7878055519 -347.5108594868    70.41734
ODEZ 11MAR22 2011.2197 55642 1628 2   12.5   -844 -0.423255   5072500  0.673737    70  0.415520  0.0000 0.000762 0.000942 0.003037  0.042303 -0.045451 -0.112834  45.7878055541 -347.5108595092    70.41552
ODEZ 11MAR23 2011.2225 55643 1628 3   12.5   -844 -0.421743   5072500  0.674594    70  0.415190  0.0000 0.000755 0.000940 0.003012  0.055134 -0.062362 -0.115744  45.7878055618 -347.5108594898    70.41519
ODEZ 11MAR24 2011.2252 55644 1628 4   12.5   -844 -0.423720   5072500  0.674437    70  0.414725  0.0000 0.000783 0.000966 0.003130  0.064137 -0.049104 -0.126433  45.7878055604 -347.5108595152    70.41472
ODEZ 11MAR25 2011.2279 55645 1628 5   12.5   -844 -0.423441   5072500  0.672823    70  0.420317  0.0000 0.000756 0.000963 0.003048  0.076798 -0.035636 -0.125595  45.7878055459 -347.5108595116    70.42032
ODEZ 11MAR26 2011.2307 55646 1628 6   12.5   -844 -0.423320   5072500  0.672410    70  0.428605  0.0000 0.000840 0.001051 0.003428  0.064677 -0.032927 -0.120499  45.7878055422 -347.5108595101    70.42860
ODEZ 11MAR28 2011.2361 55648 1629 1   12.5   -844 -0.422421   5072500  0.674379    70  0.423295  0.0000 0.000935 0.001182 0.003708  0.024091 -0.056921 -0.154696  45.7878055599 -347.5108594985    70.42330
ODEZ 11MAR29 2011.2389 55649 1629 2   12.5   -844 -0.421607   5072500  0.673984    70  0.425557  0.0000 0.000744 0.000936 0.002975  0.066149 -0.032312 -0.121256  45.7878055563 -347.5108594880    70.42556
ODEZ 11MAR30 2011.2416 55650 1629 3   12.5   -844 -0.421810   5072500  0.675130    70  0.424888  0.0000 0.000742 0.000938 0.002978  0.063936 -0.035805 -0.112074  45.7878055666 -347.5108594906    70.42489
ODEZ 11MAR31 2011.2444 55651 1629 4   12.5   -844 -0.421199   5072500  0.673293    70  0.423983  0.0000 0.000740 0.000938 0.002970  0.065550 -0.031998 -0.124907  45.7878055501 -347.5108594828    70.42398
ODEZ 11APR01 2011.2471 55652 1629 5   12.5   -844 -0.419365   5072500  0.673954    70  0.425058  0.0000 0.000746 0.000940 0.002999  0.061727 -0.033433 -0.118669  45.7878055560 -347.5108594592    70.42506
ODEZ 11APR02 2011.2498 55653 1629 6   12.5   -844 -0.419998   5072500  0.675787    70  0.422779  0.0000 0.000742 0.000936 0.002983  0.073505 -0.042808 -0.121568  45.7878055725 -347.5108594673    70.42278
ODEZ 11APR03 2011.2526 55654 1630 0   12.5   -844 -0.421441   5072500  0.674570    70  0.425518  0.0000 0.000742 0.000927 0.002967  0.067560 -0.034678 -0.136799  45.7878055616 -347.5108594859    70.42552
ODEZ 11APR04 2011.2553 55655 1630 1   12.5   -844 -0.422793   5072500  0.674313    70  0.426404  0.0000 0.000752 0.000941 0.003025  0.052929 -0.011489 -0.132084  45.7878055593 -347.5108595033    70.42640
ODEZ 11APR05 2011.2580 55656 1630 2   12.5   -844 -0.421768   5072500  0.674723    70  0.423525  0.0000 0.000765 0.000957 0.003069  0.060476 -0.026180 -0.137340  45.7878055630 -347.5108594901    70.42353
ODEZ 11APR06 2011.2608 55657 1630 3   12.5   -844 -0.421935   5072500  0.674147    70  0.423722  0.0000 0.000761 0.000957 0.003059  0.065858 -0.063667 -0.141820  45.7878055578 -347.5108594923    70.42372
ODEZ 11APR07 2011.2635 55658 1630 4   12.5   -844 -0.423336   5072500  0.673925    70  0.424082  0.0000 0.000752 0.000949 0.003030  0.065230 -0.042788 -0.119735  45.7878055558 -347.5108595103    70.42408
ODEZ 11APR08 2011.2663 55659 1630 5   12.5   -844 -0.423227   5072500  0.675721    70  0.427537  0.0000 0.000747 0.000940 0.003019  0.068034 -0.034240 -0.119626  45.7878055720 -347.5108595089    70.42754
ODEZ 11APR09 2011.2690 55660 1630 6   12.5   -844 -0.423446   5072500  0.675422    70  0.428511  0.0000 0.000753 0.000944 0.003049  0.074920 -0.048204 -0.145103  45.7878055693 -347.5108595117    70.42851
ODEZ 11APR10 2011.2717 55661 1631 0   12.5   -844 -0.423743   5072500  0.675732    70  0.426305  0.0000 0.000755 0.000961 0.003068  0.030853 -0.017349 -0.130265  45.7878055720 -347.5108595155    70.42630
ODEZ 11APR11 2011.2745 55662 1631 1   12.5   -844 -0.422276   5072500  0.675442    70  0.422414  0.0000 0.000761 0.000980 0.003115  0.010980 -0.016801 -0.111156  45.7878055694 -347.5108594966    70.42241
ODEZ 11APR12 2011.2772 55663 1631 2   12.5   -844 -0.421385   5072500  0.673781    70  0.426572  0.0000 0.000769 0.000982 0.003150  0.009218 -0.015484 -0.122461  45.7878055545 -347.5108594852    70.42657
ODEZ 11APR14 2011.2827 55665 1631 4   12.5   -844 -0.422674   5072500  0.675099    70  0.423638  0.0000 0.000887 0.001143 0.003590  0.057745 -0.057642 -0.123364  45.7878055664 -347.5108595018    70.42364
ODEZ 11APR15 2011.2854 55666 1631 5   12.5   -844 -0.422662   5072500  0.675952    70  0.425838  0.0000 0.000744 0.000943 0.002990  0.071615 -0.033435 -0.124722  45.7878055740 -347.5108595016    70.42584
ODEZ 11APR16 2011.2882 55667 1631 6   12.5   -844 -0.421205   5072500  0.675358    70  0.423945  0.0000 0.000743 0.000946 0.003004  0.069501 -0.054993 -0.132976  45.7878055687 -347.5108594829    70.42394
ODEZ 11APR17 2011.2909 55668 1632 0   12.5   -844 -0.421213   5072500  0.675930    70  0.420888  0.0000 0.000738 0.000943 0.002987  0.067636 -0.039364 -0.123334  45.7878055738 -347.5108594830    70.42089
ODEZ 11APR18 2011.2936 55669 1632 1   12.5   -844 -0.421124   5072500  0.674619    70  0.422984  0.0000 0.000735 0.000942 0.002961  0.072562 -0.015855 -0.130272  45.7878055620 -347.5108594818    70.42298
ODEZ 11APR19 2011.2964 55670 1632 2   12.5   -844 -0.420903   5072500  0.676328    70  0.426316  0.0000 0.000752 0.000964 0.003042  0.070680 -0.019010 -0.125211  45.7878055774 -347.5108594790    70.42632
ODEZ 11APR20 2011.2991 55671 1632 3   12.5   -844 -0.421964   5072500  0.675867    70  0.424708  0.0000 0.000738 0.000938 0.002959  0.063145 -0.023214 -0.119079  45.7878055733 -347.5108594926    70.42471
ODEZ 11APR21 2011.3018 55672 1632 4   12.5   -844 -0.419060   5072500  0.675428    70  0.426483  0.0000 0.000761 0.000965 0.003043  0.106523 -0.052993 -0.123109  45.7878055693 -347.5108594553    70.42648
ODEZ 11APR22 2011.3046 55673 1632 5   12.5   -844 -0.419626   5072500  0.675991    70  0.422469  0.0000 0.000742 0.000939 0.002973  0.066006 -0.047260 -0.121051  45.7878055744 -347.5108594626    70.42247
ODEZ 11APR23 2011.3073 55674 1632 6   12.5   -844 -0.419647   5072500  0.675087    70  0.424108  0.0000 0.000737 0.000941 0.002967  0.063790 -0.038669 -0.102681  45.7878055662 -347.5108594628    70.42411
ODEZ 11APR24 2011.3101 55675 1633 0   12.5   -844 -0.421429   5072500  0.675320    70  0.424831  0.0000 0.000739 0.000937 0.002951  0.070639 -0.024873 -0.133031  45.7878055683 -347.5108594857    70.42483
ODEZ 11APR25 2011.3128 55676 1633 1   12.5   -844 -0.421357   5072500  0.677024    70  0.426612  0.0000 0.000741 0.000939 0.002975  0.075049 -0.046108 -0.128020  45.7878055837 -347.5108594848    70.42661
ODEZ 11APR26 2011.3155 55677 1633 2   12.5   -844 -0.422014   5072500  0.677095    70  0.429580  0.0000 0.000746 0.000960 0.003013  0.053303 -0.018389 -0.121958  45.7878055843 -347.5108594933    70.42958
ODEZ 11APR27 2011.3183 55678 1633 3   12.5   -844 -0.420599   5072500  0.678378    70  0.424094  0.0000 0.000745 0.000946 0.003008  0.080369 -0.049313 -0.136547  45.7878055959 -347.5108594751    70.42409
ODEZ 11APR28 2011.3210 55679 1633 4   12.5   -844 -0.419931   5072500  0.676606    70  0.427272  0.0000 0.000734 0.000938 0.002936  0.076340 -0.029214 -0.114701  45.7878055799 -347.5108594665    70.42727
ODEZ 11APR29 2011.3238 55680 1633 5   12.5   -844 -0.418501   5072500  0.677101    70  0.430592  0.0000 0.000940 0.001254 0.003906  0.121540 -0.008511 -0.137974  45.7878055844 -347.5108594481    70.43059
ODEZ 11APR30 2011.3265 55681 1633 6   12.5   -844 -0.418643   5072500  0.676780    70  0.429363  0.0000 0.000735 0.000934 0.002933  0.068313 -0.031182 -0.129201  45.7878055815 -347.5108594499    70.42936
ODEZ 11MAY01 2011.3292 55682 1634 0   12.5   -844 -0.419751   5072500  0.677682    70  0.428568  0.0000 0.000755 0.000952 0.003016  0.066973 -0.041623 -0.153780  45.7878055896 -347.5108594642    70.42857
ODEZ 11MAY02 2011.3320 55683 1634 1   12.5   -844 -0.419192   5072500  0.677451    70  0.429835  0.0000 0.000743 0.000942 0.002978  0.070797 -0.037902 -0.135776  45.7878055875 -347.5108594570    70.42984
ODEZ 11MAY03 2011.3347 55684 1634 2   12.5   -844 -0.418533   5072500  0.678106    70  0.429151  0.0000 0.000768 0.000984 0.003161  0.043549 -0.040507 -0.127194  45.7878055934 -347.5108594485    70.42915
ODEZ 11MAY04 2011.3374 55685 1634 3   12.5   -844 -0.418240   5072500  0.677964    70  0.426754  0.0000 0.000759 0.000965 0.003060  0.053538 -0.055976 -0.097965  45.7878055921 -347.5108594447    70.42675
ODEZ 11MAY05 2011.3402 55686 1634 4   12.5   -844 -0.418817   5072500  0.676362    70  0.422053  0.0000 0.000753 0.000960 0.003019  0.098886 -0.052853 -0.118116  45.7878055777 -347.5108594522    70.42205
ODEZ 11MAY06 2011.3429 55687 1634 5   12.5   -844 -0.419534   5072500  0.676373    70  0.419176  0.0000 0.000752 0.000956 0.003024  0.100108 -0.053940 -0.130325  45.7878055778 -347.5108594614    70.41918
ODEZ 11MAY07 2011.3457 55688 1634 6   12.5   -844 -0.418495   5072500  0.678378    70  0.423066  0.0000 0.000747 0.000954 0.003013  0.056014 -0.015895 -0.141705  45.7878055959 -347.5108594480    70.42307
ODEZ 11MAY08 2011.3484 55689 1635 0   12.5   -844 -0.418569   5072500  0.677861    70  0.418138  0.0000 0.000764 0.000976 0.003126  0.053772 -0.051109 -0.123748  45.7878055912 -347.5108594490    70.41814
ODEZ 11MAY09 2011.3511 55690 1635 1   12.5   -844 -0.419210   5072500  0.677302    70  0.423940  0.0000 0.000744 0.000953 0.002995  0.059321 -0.018662 -0.116511  45.7878055862 -347.5108594572    70.42394
ODEZ 11MAY10 2011.3539 55691 1635 2   12.5   -844 -0.417968   5072500  0.677032    70  0.425953  0.0000 0.000753 0.000965 0.003052  0.060833 -0.016953 -0.114572  45.7878055837 -347.5108594412    70.42595
ODEZ 11MAY11 2011.3566 55692 1635 3   12.5   -844 -0.419650   5072500  0.677531    70  0.426997  0.0000 0.000739 0.000933 0.002955  0.077009 -0.033518 -0.129061  45.7878055882 -347.5108594629    70.42700
ODEZ 11MAY12 2011.3593 55693 1635 4   12.5   -844 -0.421226   5072500  0.678380    70  0.424632  0.0000 0.000741 0.000936 0.002973  0.068970 -0.033650 -0.130393  45.7878055959 -347.5108594831    70.42463
ODEZ 11MAY13 2011.3621 55694 1635 5   12.5   -844 -0.418786   5072500  0.678346    70  0.426802  0.0000 0.000743 0.000954 0.002987  0.060728 -0.027395 -0.158615  45.7878055956 -347.5108594518    70.42680
ODEZ 11MAY14 2011.3648 55695 1635 6   12.5   -844 -0.418631   5072500  0.678641    70  0.430466  0.0000 0.000758 0.000984 0.003117  0.052988 -0.034523 -0.166470  45.7878055982 -347.5108594498    70.43047
ODEZ 11MAY15 2011.3676 55696 1636 0   12.5   -844 -0.418621   5072500  0.677587    70  0.426932  0.0000 0.000739 0.000956 0.002966  0.058015 -0.016725 -0.133223  45.7878055887 -347.5108594496    70.42693
ODEZ 11MAY16 2011.3703 55697 1636 1   12.5   -844 -0.418845   5072500  0.675494    70  0.426327  0.0000 0.000748 0.000963 0.003022  0.073605 -0.046810 -0.129174  45.7878055699 -347.5108594525    70.42633
ODEZ 11MAY17 2011.3730 55698 1636 2   12.5   -844 -0.419333   5072500  0.677898    70  0.420550  0.0000 0.000741 0.000958 0.002973  0.057186 -0.024356 -0.129695  45.7878055915 -347.5108594588    70.42055
ODEZ 11MAY18 2011.3758 55699 1636 3   12.5   -844 -0.419452   5072500  0.679544    70  0.423229  0.0000 0.000742 0.000958 0.002981  0.061248 -0.030574 -0.144729  45.7878056063 -347.5108594603    70.42323
ODEZ 11MAY19 2011.3785 55700 1636 4   12.5   -844 -0.418800   5072500  0.680037    70  0.424150  0.0000 0.000745 0.000962 0.003000  0.060970 -0.034996 -0.139147  45.7878056108 -347.5108594519    70.42415
ODEZ 11MAY20 2011.3812 55701 1636 5   12.5   -844 -0.419376   5072500  0.679267    70  0.426074  0.0000 0.000753 0.000975 0.003038  0.056947 -0.018073 -0.143828  45.7878056039 -347.5108594593    70.42607
ODEZ 11MAY21 2011.3840 55702 1636 6   12.5   -844 -0.416010   5072500  0.679143    70  0.426804  0.0000 0.000758 0.000984 0.003093  0.050194 -0.022037 -0.124708  45.7878056027 -347.5108594161    70.42680
ODEZ 11MAY22 2011.3867 55703 1637 0   12.5   -844 -0.419106   5072500  0.678532    70  0.425846  0.0000 0.000747 0.000957 0.002987  0.061168 -0.032555 -0.125894  45.7878055972 -347.5108594559    70.42585
ODEZ 11MAY23 2011.3895 55704 1637 1   12.5   -844 -0.418152   5072500  0.679078    70  0.422905  0.0000 0.000746 0.000956 0.003001  0.047347 -0.022342 -0.136569  45.7878056022 -347.5108594436    70.42291
ODEZ 11MAY24 2011.3922 55705 1637 2   12.5   -844 -0.419892   5072500  0.679625    70  0.430154  0.0000 0.000752 0.000964 0.003039  0.043842 -0.017247 -0.168250  45.7878056071 -347.5108594660    70.43015
ODEZ 11MAY25 2011.3949 55706 1637 3   12.5   -844 -0.420491   5072500  0.680056    70  0.426870  0.0000 0.000750 0.000971 0.003048  0.060888 -0.030443 -0.147337  45.7878056110 -347.5108594737    70.42687
ODEZ 11MAY26 2011.3977 55707 1637 4   12.5   -844 -0.418774   5072500  0.679100    70  0.427206  0.0000 0.000738 0.000962 0.002965  0.067484 -0.029840 -0.141125  45.7878056024 -347.5108594516    70.42721
ODEZ 11MAY27 2011.4004 55708 1637 5   12.5   -844 -0.418495   5072500  0.677554    70  0.426977  0.0000 0.000772 0.000992 0.003160  0.060118 -0.020746 -0.137683  45.7878055884 -347.5108594480    70.42698
ODEZ 11MAY28 2011.4031 55709 1637 6   12.5   -844 -0.419958   5072500  0.679524    70  0.425590  0.0000 0.000762 0.000971 0.003090  0.048711 -0.023628 -0.126794  45.7878056062 -347.5108594668    70.42559
ODEZ 11MAY29 2011.4059 55710 1638 0   12.5   -844 -0.418568   5072500  0.678336    70  0.426598  0.0000 0.000741 0.000955 0.002981  0.054726 -0.022775 -0.140087  45.7878055955 -347.5108594490    70.42660
ODEZ 11MAY30 2011.4086 55711 1638 1   12.5   -844 -0.418714   5072500  0.678815    70  0.426717  0.0000 0.000740 0.000959 0.002974  0.060889 -0.018526 -0.138648  45.7878055998 -347.5108594508    70.42672
ODEZ 11MAY31 2011.4114 55712 1638 2   12.5   -844 -0.419002   5072500  0.678676    70  0.423198  0.0000 0.000749 0.000965 0.003026  0.059287 -0.022574 -0.142695  45.7878055985 -347.5108594545    70.42320
ODEZ 11JUN01 2011.4141 55713 1638 3   12.5   -844 -0.418803   5072500  0.678742    70  0.425299  0.0000 0.000753 0.000979 0.003065  0.061255 -0.037276 -0.128819  45.7878055991 -347.5108594520    70.42530
ODEZ 11JUN02 2011.4168 55714 1638 4   12.5   -844 -0.419221   5072500  0.679559    70  0.425355  0.0000 0.000757 0.000969 0.003049  0.057326 -0.041647 -0.141295  45.7878056065 -347.5108594574    70.42536
ODEZ 11JUN03 2011.4196 55715 1638 5   12.5   -844 -0.418919   5072500  0.679997    70  0.418452  0.0000 0.000754 0.000969 0.003054  0.042822 -0.041870 -0.135423  45.7878056104 -347.5108594535    70.41845
ODEZ 11JUN04 2011.4223 55716 1638 6   12.5   -844 -0.418097   5072500  0.679199    70  0.426648  0.0000 0.000760 0.000982 0.003085  0.071986 -0.032005 -0.146090  45.7878056032 -347.5108594429    70.42665
ODEZ 11JUN05 2011.4251 55717 1639 0   12.5   -844 -0.419162   5072500  0.677814    70  0.433925  0.0000 0.000776 0.001005 0.003189  0.053345  0.015100 -0.123367  45.7878055908 -347.5108594566    70.43393
ODEZ 11JUN06 2011.4278 55718 1639 1   12.5   -844 -0.421097   5072500  0.681271    70  0.424155  0.0000 0.000760 0.000987 0.003109  0.057917 -0.015009 -0.128865  45.7878056219 -347.5108594815    70.42415
ODEZ 11JUN07 2011.4305 55719 1639 2   12.5   -844 -0.418267   5072500  0.678059    70  0.426077  0.0000 0.000765 0.000989 0.003131  0.052938 -0.024713 -0.116205  45.7878055930 -347.5108594451    70.42608
ODEZ 11JUN08 2011.4333 55720 1639 3   12.5   -844 -0.420288   5072500  0.678079    70  0.425112  0.0000 0.000760 0.000979 0.003083  0.048634 -0.021140 -0.143718  45.7878055932 -347.5108594711    70.42511
ODEZ 11JUN09 2011.4360 55721 1639 4   12.5   -844 -0.419868   5072500  0.679693    70  0.427954  0.0000 0.000756 0.000972 0.003055  0.051651 -0.022692 -0.131371  45.7878056077 -347.5108594657    70.42795
ODEZ 11JUN10 2011.4387 55722 1639 5   12.5   -844 -0.417593   5072500  0.678213    70  0.426483  0.0000 0.000742 0.000957 0.002973  0.065112 -0.029399 -0.145848  45.7878055944 -347.5108594364    70.42648
ODEZ 11JUN11 2011.4415 55723 1639 6   12.5   -844 -0.417178   5072500  0.679842    70  0.426620  0.0000 0.000755 0.000974 0.003049  0.063608 -0.021380 -0.139293  45.7878056090 -347.5108594311    70.42662
ODEZ 11JUN12 2011.4442 55724 1640 0   12.5   -844 -0.417465   5072500  0.677873    70  0.427238  0.0000 0.000750 0.000974 0.003040  0.053104 -0.018500 -0.159037  45.7878055913 -347.5108594348    70.42724
ODEZ 11JUN13 2011.4470 55725 1640 1   12.5   -844 -0.419410   5072500  0.678981    70  0.425096  0.0000 0.000739 0.000956 0.002956  0.052651 -0.029751 -0.121895  45.7878056013 -347.5108594598    70.42510
ODEZ 11JUN14 2011.4497 55726 1640 2   12.5   -844 -0.418674   5072500  0.680984    70  0.422596  0.0000 0.000749 0.000965 0.003019  0.050859 -0.034846 -0.151651  45.7878056193 -347.5108594503    70.42260
ODEZ 11JUN15 2011.4524 55727 1640 3   12.5   -844 -0.419097   5072500  0.680216    70  0.424855  0.0000 0.000742 0.000961 0.002990  0.055091 -0.035115 -0.139125  45.7878056124 -347.5108594558    70.42486
ODEZ 11JUN16 2011.4552 55728 1640 4   12.5   -844 -0.417586   5072500  0.681360    70  0.422834  0.0000 0.000748 0.000962 0.003021  0.055550 -0.027765 -0.151246  45.7878056227 -347.5108594363    70.42283
ODEZ 11JUN17 2011.4579 55729 1640 5   12.5   -844 -0.418742   5072500  0.678923    70  0.427007  0.0000 0.000757 0.000979 0.003081  0.061723 -0.019364 -0.125551  45.7878056008 -347.5108594512    70.42701
ODEZ 11JUN18 2011.4606 55730 1640 6   12.5   -844 -0.418181   5072500  0.678152    70  0.432405  0.0000 0.000769 0.000987 0.003155  0.046835 -0.032424 -0.165972  45.7878055938 -347.5108594440    70.43241
ODEZ 11JUN19 2011.4634 55731 1641 0   12.5   -844 -0.417899   5072500  0.679667    70  0.431731  0.0000 0.000760 0.000996 0.003155  0.055283 -0.023635 -0.103804  45.7878056075 -347.5108594404    70.43173
ODEZ 11JUN20 2011.4661 55732 1641 1   12.5   -844 -0.418795   5072500  0.679941    70  0.422108  0.0000 0.000745 0.000967 0.003035  0.062945 -0.042260 -0.156684  45.7878056099 -347.5108594519    70.42211
ODEZ 11JUN21 2011.4689 55733 1641 2   12.5   -844 -0.417885   5072500  0.679630    70  0.428833  0.0000 0.000747 0.000972 0.003033  0.061250 -0.031589 -0.153029  45.7878056071 -347.5108594402    70.42883
ODEZ 11JUN24 2011.4771 55736 1641 5   12.5   -844 -0.417301   5072500  0.683977    70  0.420376  0.0000 0.000872 0.001147 0.003586  0.069458 -0.042494 -0.137242  45.7878056462 -347.5108594327    70.42038
ODEZ 11JUN25 2011.4798 55737 1641 6   12.5   -844 -0.419233   5072500  0.682200    70  0.425189  0.0000 0.000745 0.000966 0.003006  0.041483 -0.016473 -0.151045  45.7878056302 -347.5108594575    70.42519
ODEZ 11JUN26 2011.4825 55738 1642 0   12.5   -844 -0.418537   5072500  0.680903    70  0.427896  0.0000 0.000741 0.000968 0.002998  0.049497 -0.018159 -0.131394  45.7878056186 -347.5108594486    70.42790
ODEZ 11JUN27 2011.4853 55739 1642 1   12.5   -844 -0.418342   5072500  0.681213    70  0.424517  0.0000 0.001162 0.001472 0.004698  0.081688  0.006012 -0.198547  45.7878056214 -347.5108594461    70.42452
ODEZ 11JUN28 2011.4880 55740 1642 2   12.5   -844 -0.418172   5072500  0.676097    70  0.426187  0.0000 0.001304 0.001573 0.004921 -0.016756 -0.047316 -0.142959  45.7878055753 -347.5108594439    70.42619
ODEZ 11JUL08 2011.5154 55750 1643 5   12.5   -844 -0.417004   5072500  0.681761    70  0.436360  0.0000 0.001039 0.001411 0.004415  0.078960  0.000202 -0.168849  45.7878056263 -347.5108594288    70.43636
ODEZ 11JUL09 2011.5181 55751 1643 6   12.5   -844 -0.415185   5072500  0.680206    70  0.433531  0.0000 0.000751 0.000977 0.003074  0.057598 -0.017429 -0.171523  45.7878056123 -347.5108594055    70.43353
ODEZ 11JUL10 2011.5209 55752 1644 0   12.5   -844 -0.416426   5072500  0.681944    70  0.430095  0.0000 0.000744 0.000970 0.003008  0.065564 -0.041185 -0.124992  45.7878056279 -347.5108594214    70.43010
ODEZ 11JUL11 2011.5236 55753 1644 1   12.5   -844 -0.417040   5072500  0.681626    70  0.431115  0.0000 0.000763 0.000991 0.003149  0.066477 -0.042290 -0.181754  45.7878056251 -347.5108594293    70.43112
ODEZ 11JUL12 2011.5264 55754 1644 2   12.5   -844 -0.416399   5072500  0.680567    70  0.435296  0.0000 0.000752 0.000976 0.003055  0.055667 -0.028447 -0.163471  45.7878056155 -347.5108594211    70.43530
ODEZ 11JUL13 2011.5291 55755 1644 3   12.5   -844 -0.415628   5072500  0.682074    70  0.430670  0.0000 0.000748 0.000968 0.003020  0.039512 -0.021638 -0.152995  45.7878056291 -347.5108594112    70.43067
ODEZ 11JUL14 2011.5318 55756 1644 4   12.5   -844 -0.414178   5072500  0.681723    70  0.428877  0.0000 0.000784 0.001009 0.003212  0.031490  0.002073 -0.157284  45.7878056260 -347.5108593925    70.42888
ODEZ 11JUL15 2011.5346 55757 1644 5   12.5   -844 -0.417060   5072500  0.680260    70  0.430305  0.0000 0.000800 0.001035 0.003306  0.075886 -0.055979 -0.170840  45.7878056128 -347.5108594296    70.43030
ODEZ 11JUL16 2011.5373 55758 1644 6   12.5   -844 -0.419330   5072500  0.680476    70  0.425816  0.0000 0.000753 0.000986 0.003089  0.062992 -0.036137 -0.155111  45.7878056147 -347.5108594588    70.42582
ODEZ 11JUL17 2011.5400 55759 1645 0   12.5   -844 -0.416985   5072500  0.679984    70  0.433450  0.0000 0.000756 0.000971 0.003044  0.044966 -0.012413 -0.145441  45.7878056103 -347.5108594286    70.43345
